instance_id,recipe,session,video_id,narration_id,node,node_label,verb_category,start_s,end_s,duration_s,aligned_position,step_segment,prev,next,gap_after_s,node_recurs_in_sessions,is_recurring,narration
P01_R01|Session3|5,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-6,,,retrieve,16.9,17.3,0.4,0.1108,1,pick up mug,put down mug,0.1,1,0,lift the lower part of the coffee machine using the left hand
P01_R01|Session3|6,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-7,put crockery,put down mug,leave,17.4,17.9,0.5,0.1144,1,one-off,one-off,0.0,3,1,put the mug under the nozzle of the coffee machine
P01_R01|Session3|7,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-8,,,access,17.9,18.5,0.6,0.1179,1,put down mug,one-off,0.9,1,0,switch on the coffee machine by pressing the button at the top using the left hand with the index finger
P01_R01|Session3|8,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-9,,,transition,19.4,20.2,0.8,0.1277,1,one-off,open milk bottle,1.5,1,0,move the milk frother across the countertop bringing it closer to the counter edge using the left hand by sliding it across the surface of the countertop
P01_R01|Session3|9,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-10,open containers,open milk bottle,access,21.7,22.1,0.4,0.1424,1,one-off,pick up coffee pod,-0.3,3,1,open the cardboard box containing coffee capsules by holding the lid with the left hand pulling it up and keeping the hand to support the lid
P01_R01|Session3|10,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-11,take drinks,pick up coffee pod,retrieve,21.8,23.3,1.5,0.143,1,open milk bottle,close lid,0.0,3,1,pick up a coffee capsule using the right hand from the coffee capsule box by inserting the right hand into the box and picking one capsule
P01_R01|Session3|11,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-12,close containers,close lid,block,23.3,23.6,0.3,0.153,1,pick up coffee pod,open compartment,0.0,2,1,close the cardboard box by releasing its cover with the left hand so it actually closes
P01_R01|Session3|12,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-13,open furniture,open compartment,access,23.6,24.6,1.0,0.1552,1,close lid,insert coffee pod,0.1,2,1,open the compartment of coffee capsules in the coffee machine by holding the handle of the coffee machine with the left hand and pulling it up to reveal the compartment
P01_R01|Session3|13,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-14,put drinks,insert coffee pod,leave,24.7,25.5,0.8,0.1622,1,open compartment,one-off,0.1,2,1,place the coffee capsule inside the compartment of the coffee machine by positioning the hand on top of the compartment with the coffee capsule in hand and releasing the coffee capsule so it falls in place inside the compartment
P01_R01|Session3|14,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-15,,,block,25.6,26.0,0.4,0.1676,2,insert coffee pod,pick up milk bottle,0.1,1,0,lock the coffee capsule inside the coffee machine by closing the compartment using the handle in the left hand by pulling it down and so the coffee capsule is locked in place
P01_R01|Session3|15,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-16,take containers,pick up milk bottle,retrieve,26.1,26.5,0.4,0.1696,2,one-off,open milk bottle,0.0,3,1,pick up the milk bottle from the countertop holding it with the right hand from its handle
P01_R01|Session3|16,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-17,open containers,open milk bottle,access,26.5,27.8,1.3,0.1711,2,pick up milk bottle,pour milk,-0.2,3,1,"open the milk bottle by holding the bottle with the right hand, holding the lid with the left hand and rotating the lid counterclockwise with the left hand."
P01_R01|Session3|17,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-18,pour dairy and eggs,pour milk,merge,27.6,31.4,3.8,0.175,2,open milk bottle,put down milk bottle,-0.2,2,1,pour milk from the milk bottle into the milk frother by positioning the milk bottle on top of the milk frother and tilting the bottle so water pours into the milk frother. The bottle of milk is being held with the right hand and the milk frother is just supported by its space on the counter top. The left hand is holding the lid of the milk bottle that has just been opened
P01_R01|Session3|18,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-19,put containers,put down milk bottle,leave,31.2,32.1,0.9,0.1886,2,pour milk,close lid,0.1,3,1,put the milk bottle on the countertop
P01_R01|Session3|19,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-20,close containers,close lid,block,32.2,33.3,1.1,0.1922,2,put down milk bottle,turn on milk frother,-1.1,2,1,close the milk bottle by positioning the lid with the left hand on top of the milk bottle and rotating it clockwise the bottle is standing on the countertop
P01_R01|Session3|20,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-21,turn-on dairy and eggs,turn on milk frother,access,32.2,32.9,0.7,0.1924,2,close lid,one-off,2.5,2,1,try to start the milk frother by pressing the button on the outside using the right hand but it doesn't start because the plug is not in the socket
P01_R01|Session3|21,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-22,,,merge,35.4,36.7,1.3,0.2043,2,turn on milk frother,one-off,0.3,1,0,plug the milk frother in the socket by picking up the plug from the countertop positioning it on the socket rightly and pushing in place with the right hand
P01_R01|Session3|22,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-23,,,access,37.0,38.3,1.3,0.2102,2,one-off,turn on milk frother,0.5,1,0,switch on the socket by pressing the button next to the plug with the right hand index
P01_R01|Session3|23,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-24,turn-on dairy and eggs,turn on milk frother,access,38.8,39.8,1.0,0.217,2,one-off,open cupboard,2.0,2,1,turn on the milk frother by pressing the button on the outside using the right hand holding the milk frother with the right hand and pressing with the thumb
P01_R01|Session3|24,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-25,open storage,open cupboard,access,41.8,42.7,0.9,0.2279,2,turn on milk frother,close lid,60.6,2,1,open the upper cupboard using the left hand holding the handle
P01_R01|Session3|25,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-55,close containers,close lid,block,103.3,104.1,0.8,0.5905,4,open cupboard,one-off,0.2,2,1,close the box of wooden stirrers by releasing its top
P01_R01|Session3|26,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-56,,,transition,104.3,106.5,2.2,0.593,4,close lid,pick up milk frother,6.3,1,0,move the mug on the countertop getting it closer to the edge and away from the coffee machine by holding the handle with the left hand and sliding slightly on the surface
P01_R01|Session3|27,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-57,take dairy and eggs,pick up milk frother,retrieve,112.8,113.6,0.8,0.6162,4,one-off,tap milk frother,1.3,3,1,pick up the milk frother from its base on the countertop using the right hand in doing so the button on it actually gets switched off so by lifting it actually the milk frother is switched off
P01_R01|Session3|28,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-58,pat dairy and eggs,tap milk frother,sense,114.9,116.4,1.5,0.6219,4,pick up milk frother,pour milk,0.0,2,1,hit the milk frother twice on the surface of the countertop using the right hand to steady the frothed milk inside it
P01_R01|Session3|29,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-59,pour dairy and eggs,pour milk,merge,116.4,123.1,6.7,0.626,4,tap milk frother,tilt milk frother,-1.4,2,1,pour the frothed milk from the milk frother into the mug holding the mug with the left hand while it's resting on the countertop and holding the milk frother with the right hand tilting it positioning it on top of the mug using the right hand
P01_R01|Session3|30,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-60,lift dairy and eggs,tilt milk frother,retrieve,121.7,130.9,9.2,0.6402,4,pour milk,one-off,0.4,2,1,carefully allow the remaining frothed milk to be poured on the mug which is nearly filled by only very slowly tilting the milk frother
P01_R01|Session3|31,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-61,,,leave,131.3,132.1,0.8,0.6662,4,tilt milk frother,put down milk frother,2.3,1,0,put the wooden stirrer inside the mug which contains coffee and frothed milk
P01_R01|Session3|32,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-62,put dairy and eggs,put down milk frother,leave,134.4,134.8,0.4,0.6856,5,one-off,open fridge,0.1,2,1,position the milk frother under the nozzle of the tap in the sink
P01_R01|Session3|33,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-63,open appliances,open fridge,access,134.9,135.2,0.3,0.6883,5,put down milk frother,wash milk frother,0.2,3,1,open the tap
P01_R01|Session3|34,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-64,wash dairy and eggs,wash milk frother,clean,135.4,138.9,3.5,0.6917,5,open fridge,close fridge,0.3,2,1,rinse the milk frother also using the right hand index to scrape its inner surface
P01_R01|Session3|35,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-65,close appliances,close fridge,block,139.2,139.5,0.3,0.7153,5,wash milk frother,one-off,-0.2,3,1,close the tap
P01_R01|Session3|36,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-66,,,manipulate,139.3,140.1,0.8,0.7158,5,close fridge,open fridge,-0.1,1,0,turn the milk frother upside down to empty the water inside it
P01_R01|Session3|37,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-67,open appliances,open fridge,access,140.0,140.5,0.5,0.7206,5,one-off,wash milk frother,0.1,3,1,open the tap again
P01_R01|Session3|38,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-68,wash dairy and eggs,wash milk frother,clean,140.6,141.7,1.1,0.724,5,open fridge,close fridge,-0.1,2,1,rinse the milk frother
P01_R01|Session3|39,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-69,close appliances,close fridge,block,141.6,142.1,0.5,0.7307,5,wash milk frother,one-off,0.0,3,1,close the tap
P01_R01|Session3|40,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-70,,,manipulate,142.1,142.9,0.8,0.7334,5,close fridge,put down milk frother,2.9,1,0,turn the milk frother upside down to empty the water inside it this action is mostly off screen
P01_R01|Session3|41,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-71,put dairy and eggs,put down milk frother,leave,145.8,147.0,1.2,0.757,5,one-off,one-off,0.6,2,1,put the milk frother back on its base on the countertop using the right hand
P01_R01|Session3|42,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-72,,,clean,147.6,150.3,2.7,0.7682,5,put down milk frother,one-off,0.3,1,0,dry the hands using the towel on the handrail of the oven by holding it from its edge this action is mostly off-screen
P01_R01|Session3|43,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-73,,,manipulate,150.6,151.3,0.7,0.7868,5,one-off,one-off,0.4,1,0,hold the mug with the left hand on the countertop
P01_R01|Session3|44,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-74,,,manipulate,151.7,152.5,0.8,0.7937,5,one-off,pick up mug,-0.5,1,0,hold the wooden stirrer which was resting inside the coffee mug
P01_R01|Session3|45,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-75,take crockery,pick up mug,retrieve,152.0,152.5,0.5,0.7958,5,one-off,stir coffee,-0.3,3,1,pick up the coffee mug from the countertop
P01_R01|Session3|46,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-76,mix drinks,stir coffee,merge,152.2,157.3,5.1,0.7973,5,pick up mug,shake stirrer,0.0,3,1,stir the coffee inside the mug mixing the coffee with the frothed milk by rotating the wooden stirrer inside the mug in circular motions clockwise quickly and repeatedly until the coffee is fully mixed with the frothed milk
P01_R01|Session3|47,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-77,shake cutlery,shake stirrer,manipulate,157.3,158.6,1.3,0.8289,5,stir coffee,open milk bottle,0.8,2,1,shake the wooden stirrer on top of the mug to drop any liquid that stuck to it
P01_R01|Session3|48,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-78,open containers,open milk bottle,access,159.4,160.1,0.7,0.8691,6,shake stirrer,throw away stirrer,-0.2,3,1,open the lid of the trash bin
P01_R01|Session3|49,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-79,throw cutlery,throw away stirrer,leave,159.9,160.6,0.7,0.8827,6,open milk bottle,close bin,-0.2,3,1,throw the wooden stirrer in the trash bin
P01_R01|Session3|50,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-80,close rubbish,close bin,block,160.4,161.3,0.9,0.8945,6,throw away stirrer,put down mug,2.3,3,1,close the trash bin
P01_R01|Session3|51,P01_R01,Session 3,P01-20240204-095114,P01-20240204-095114-81,put crockery,put down mug,leave,163.6,164.5,0.9,0.9769,6,close bin,,,3,1,put the mug on the counter top
